0;1;Você gosta de viver o momento, os imprevistos do dia a dia te motivam a resolver todos esses possíveis problemas.;0
0;2;Alterações nos planos não te incomodam.;1
0;3;"Viagens de ""última hora"" são mais excitantes do que viagens planejadas.";2
0;4;Seu futuro é determinado pelas ações e escolhas que você faz no presente.;3
0;5;Você se vê como uma pessoa apta e flexível para tomar decisões instantâneas quando um plano sai do controle.;4
1;1;Quando algum fato é exposto por alguém você o questiona para apresentar argumentos que comprovem a veracidade do assunto.;5
1;2;As informações só tem validade se possuírem dados que as corroborem .;6
1;3;A precisão é extremamente relevante na realização de suas tarefas.;7
1;4;Suas decisões são tomadas após a análise lógica de todos os fatores envolvidos na questão.;8
1;5;Você submete as informações a um detalhamento lógico, buscando encontrar padrões nos dados provenientes de tais informações.;9
2;1;Você sempre fica ansioso para iniciar uma atividade.;10
2;2;A falta de dados de uma determinada informação não o impede de tomar uma decisão.;11
2;3;Seu aprendizado se dá através dos resultados de uma ação realizada, pois é errando que se aprende.;12
2;4;Você gosta da responsabilidade de iniciar e organizar projetos.;13
2;5;As pessoas sempre são julgadas pelo que fazem e não pelo que pensam e dizem.;14
3;1;A decisão final é sempre sua. Ninguém é capaz de decidir por você.;15
3;2;Numa conversa você mantém a sua opinião e não se deixa influenciar pela argumentação alheia.;16
3;3;Você não volta atrás quando toma uma decisão. Ela é definitiva.;17
3;4;Você não gosta de ser controlado, pelo contrário, a liberdade para tomar decisões é essencial.;18
3;5;Ações devem ser realizadas conforme o planejado, independente das pressões que forem surgindo.;19
4;1;Conhecer pessoas é uma atividade que te proporciona muito prazer.;20
4;2;Você não se intimida ao ter que começar uma conversa com estranhos.;21
4;3;Ter conexões com diversas pessoas é muito importante para você.;22
4;4;Sempre é motivador conquistar as pessoas e fazer com que elas gostem de você.;23
4;5;Você consegue deixar as pessoas a vontade ao seu lado simplesmente pelo seu jeito de ser.;24
5;1;Você tende a impor seus pontos de vista a outras pessoas quando possui uma opinião formada.;25
5;2;Fatos e verdades devem ser expostos sempre, mesmo sendo estes desagradáveis.;26
5;3;"Você se sente confortável ao tomar o controle e a liderança de uma situação.  Você sempre ""toma a frente"" nas ações.";27
5;4;Clareza é essencial para a resolução de problemas. As coisas só vão para frente caso todos saibam o que de fato está acontecendo.;28
5;5;Em esportes coletivos você sempre se vê expondo o que cada um da equipe deve fazer.;29
6;1;Fazer o seu melhor não é o suficiente. Você deve estar entre os melhores e, se possível, ser o melhor.;30
6;2;Pessoas competitivas te atraem pois os feitos delas servem de parâmetros para você sempre fazer melhor.;31
6;3;Numa disputa só a vitória interessa. Perder é uma possibilidade mas está fora de cogitação.;32
6;4;O importante é competir. Fico feliz, independente do resultado, pois sei que fiz o meu melhor.;33
6;5;Você evita, na medida do possível, entrar em competições onde enxerga a impossibilidade de vitória.;34
7;1;Ser palestrante num evento é algo que não te preocupa, você gosta de expor suas ideias e entreter as pessoas.;35
7;2;Você não sente dificuldades em conduzir uma conversa. Pelo contrário, isso te agrada.;36
7;3;Você gosta de contar histórias sobre sua vida e se sente muito bem quando os outros se mostram interessados por elas.;37
7;4;Numa apresentação você tende a usar frases que contenham os elementos necessários para prender a atenção das pessoas.;38
7;5;Você gosta de explicar e descrever acontecimentos de forma fácil, usando imagens, exemplos e metáforas.;39
8;1;As coisas não acontecem por acaso. Sempre há uma razão para as coisas acontecerem.;40
8;2;Somos indivíduos que possuem livre arbítrio, todavia fazemos parte de algo muito maior que nossa liberdade de escolha.;41
8;3;As questões sociais fazem parte do seu cotidiano.;42
8;4;Sempre que alguém precisa de ajuda você é sempre atencioso e compreensivo.;43
8;5;Todas as pessoas estão conectadas por algo muito maior que nossas vontades, sendo assim nossas ações - más ou boas - sempre serão refletidas a nós mesmos.;44
9;1;Sempre que há a necessidade de solucionar um problema você busca respostas no passado, evitando cometer erros de outrora.;45
9;2;Para a contração de um relacionamento é fundamental conhecer o passado das pessoas.;46
9;3;Estudos de casos são sempre uteis pois evidenciam como foi executada e o resultado de uma ação.;47
9;4;Sempre que há uma dificuldade e o seu passado está instável, você coleta dados no passado para entender e modificar a situação.;48
9;5;Quando uma decisão é tomada em um projeto é de extrema importância que todos os envolvidos conheçam o contexto que definiu a decisão.;49
10;1;A família é de suma importância, você abriria mão de alguns privilégios para o bem estar de sua família.;50
10;2;O sucesso profissional não se resume a quanto você ganha. O importante é fazer algo que tenha sentido para você.;51
10;3;Você gosta de ser altruísta. Ajudar aos outros normalmente te da prazer interior.;52
10;4;Quando há oportunidade você se vê realizando algum tipo de atividade junto a sua comunidade.;53
10;5;A responsabilidade e a ética são fatores importantíssimos que devem estar presentes em todas as pessoas.;54
